#
# Argon-Krypton-Neon (ArKrNe) Spectral Lines
#
# NOTES: The relative intensities retrieved from NIST Atomic Spectra Database
#        were adjusted for the SALT calsys intensities OR TO GET GOOD FIT.
#        The intesity of a line in chip gap, on edge of chip gap or edge of
#        frame is set as zero. Lines with zero intensity will not be fitted.
#
# ---------------------------------------------------------------------------- #
#   Lambda   Intensity   Comment
# ---------------------------------------------------------------------------- #
#
 14789.421      0.0000   *Ar use Ar 14790.105
 14790.105      0.0162   Ar
 14881.486      0.0496   Ar
 14933.886      0.0203   Ne
 14965.980      0.1175   Kr
#14977.830      0.0000   Kr too weak
 14990.415      0.0806   Ne
 15009.440      0.0000   Kr blended
#15034.750      0.0000   ?
 15050.615      0.5597   Ar
 15078.288      0.0000   Ne blended
 15089.433      0.0000   Ne blended
 15144.236      0.0538   Ne
 15176.840      0.2010   Ar
 15195.083      0.0651   Ne
 15213.700      0.0000   Kr blended
 15234.877      0.4614   Ne
 15243.787      1.0000   Kr
 15306.062      0.2092   Ar
 15330.670      0.0000   Kr close to stronger Ar 15333.533
#15333.533      0.0000   Ar close to stronger Kr 15339.158
 15339.158      0.6141   Kr
 15352.384      0.0628   Ne
#15353.500      0.0000   Ar close to stronger Ne 15352.384
 15357.323      0.0322   *Ar close to stronger Ne 15352.384
 15376.242      0.2846   Kr
 15394.233      0.0950   Ne
 15406.849      0.0451   Ar
#15411.803      0.0000   Ne blended
 15437.850      0.0000   Kr too weak
#15455.451      0.0000   Ne too weak
#15470.453      0.0000   Ne too weak
 15478.261      0.0739   Kr
#
# END: GA45.0_CA90.0
# START: GA50.0_CA100.0
#
 15559.710      0.0001   Ar
 15608.478      0.0001   Ne
 15639.250      0.0001   Kr
 15652.083      0.0001   ArII
 15685.280      0.0001   Kr
 15691.070      0.0001   Kr
 15739.208      0.0001   Ar
 15765.356      0.0001   Ne
 15766.197      0.0001   NeII
 15775.750      0.0001   Kr
 15780.924      0.0001   Ar
 15806.965      0.0001   Ne
 15816.501      0.0001   Ne
 15821.099      0.0001   Ar
 15824.412      0.0001   Kr
 15827.180      0.0001   Kr
 15842.344      0.0001   NeII
 15895.020      0.0001   Kr
 15904.031      0.0001   Ar
 15921.216      0.0001   NeII
 15930.130      0.0001   Kr
 15932.999      0.0001   NeII
 15940.710      0.0001   ArII
 15993.860      0.0001   Ar
 16027.147      0.0001   Ne
 16027.613      0.0001   NeII
 16049.882      0.0001   Ne
 16056.700      0.0001   Kr
 16090.500      0.0001   Kr
 16102.884      0.0001   Ne
 16109.419      0.0001   ArII
 16113.730      0.0001   Kr
 16127.061      0.0001   Ar
 16156.821      0.0001   ArII
 16184.443      0.0001   Ar
 16234.097      0.0001   NeII
 16248.740      0.0001   Kr
 16257.112      0.0001   Ne
 16268.035      0.0001   Ne
 16268.513      0.0001   Ar
 16268.691      0.0001   Ne
 16272.797      0.0001   Ne
 16273.207      0.0001   NeII
 16273.400      0.0001   Ne
 16281.765      0.0001   ArII
 16291.016      0.0001   ArII
 16315.918      0.0001   ArII
 16319.715      0.0001   Kr
 16351.388      0.0001   Ne
 16351.390      0.0001   Kr
 16367.090      0.0001   ArII
 16409.737      0.0001   Ne
 16421.239      0.0001   ArII
 16428.149      0.0001   Ne
 16441.065      0.0001   Ar
 16470.370      0.0001   Kr
 16473.492      0.0001   Ne
 16474.900      0.0000   ArII
 16477.950      0.0001   NeII
 16479.254      0.0001   Ne
 16498.577      0.0001   ArII
 16524.370      0.0001   Ar
 16532.602      0.0001   Ne
 16553.828      0.0001   Ar
 16554.921      0.0001   Ar
 16564.980      0.0001   ArII
 16567.400      0.0001   Kr
 16577.580      0.0001   Kr
 16596.041      0.0001   Ne
 16611.556      0.0001   Ne
 16613.976      0.0000   Ne
 16633.219      0.0001   NeII
 16638.594      0.0001   Ne
 16655.079      0.0001   NeII
 16657.960      0.0001   ArII
 16671.664      0.0001   Ne
#
# END: GA50.0_CA100.0
#
 16731.100      0.0001   Kr
 16744.651      0.0001   Ar
 16789.718      0.0001   Kr
 16793.378      0.0001   Ne
 16858.102      0.0001   Kr
 16866.255      0.0001   Ne
 16895.067      0.0001   Kr
 16901.380      0.0001   Kr
 16914.677      0.0001   Ne
 16940.439      0.0001   Kr
 16945.210      0.0001   Ar
#
 17000.000      0.0000   dummy line to improve last real line
# ---------------------------------------------------------------------------- #
# Excluded:
# ---------------------------------------------------------------------------- #
# 8420.740      0.0000   Ne close to stronger Ar 8426.963
#11141.483      0.0000   Ne close to stronger 11146.072
#11307.641      0.0000   Ne close to stronger 11306.983
#11528.176      0.0000   Ne close to stronger 11306.983
#11793.117      0.0000   Ne close to stronger 11792.271
#13742.612      0.0000   Kr use Ne 13742.491 for better fit
#14287.508      0.0000   Ne too weak
#14503.885      0.0000   Ne too weak
#14357.273      0.0000   Ne close to stronger Kr 14351.400
#14388.045      0.0000   Ne too weak
#14935.264      0.0000   Ne close to stronger Ne 14933.886
#14974.865      0.0000   Ne too weak
#14988.949      0.0000   Ne close to stronger Ne 14990.415
#15063.105      0.0000   Ne too weak
#15079.163      0.0000   Ne blended
#15088.034      0.0000   Ne blended
#15110.582      0.0000   Ne too weak
#15129.862      0.0000   Ne too weak
#15176.111      0.0000   Ne too weak
#15178.458      0.0000   Ne close to stronger Ar 15176.840
#15180.482      0.0000   Ne too weak, close to stronger Ne 15178.458
#15193.875      0.0000   Ne blended
#15194.763      0.0000   Ne blended
#15196.788      0.0000   Ne close to stronger Ne 15195.083
#15374.279      0.0000   Ne close to stronger Kr 15376.242
#15399.179      0.0000   Kr too weak
#15503.719      0.0000   Ne too weak
# ---------------------------------------------------------------------------- #
